,Barcode,Species,gene,Volume(ml),note
0,80,Hedera colchica,psbA-trnH,,No Note
1,78,Hedera colchica,ITS,,No Note
2,86,Photinia davidiana,ITS,,No Note
3,85,Photinia davidiana,rbcL,,No Note
4,84,Allium Ursinum,psbA-trnH,,No Note
5,82,Allium Ursinum,ITS,,No Note
6,96,Ficus religiosa,psbA-trnH,,No Note
7,95,Ficus religiosa,ITS,,No Note
8,94,Ficus religiosa,rbcL,,No Note
9,91,Heliconia bihai,psbA-trnH,,No Note
